Model,MAE,RMSE,R2,MAPE
HistGradientBoosting_Custom,404932.30129777093,1245238.9006108637,0.9916404066359397,1.524301965845477e+20
CustomRegressionTree_MAE,647280.9278350516,2196985.2967941994,0.9739783941254889,1.443163798117865e+20
CustomRegressionTree_MSE,674243.7455681013,2204926.6788926413,0.9737899349702088,1.7140562491945507e+20
HistGradientBoosting_Sklearn,545941.925616123,2262751.6821763185,0.9723971715251707,1.2739097219540807e+20
DecisionTreeRegressor_Sklearn,1165263.5617681784,4266560.991406617,0.9018623372632393,2.7388841732648416e+20
KNN,2377491.237113402,7470070.939069253,0.6991643875838278,1.770598189582523e+20
KNN_Custom,3221957.0160366553,10111796.522069797,0.4487654408742431,1.924702031471089e+20
